Capital,State,Latitude,Longitude
Port Blair,Andaman and Nicobar Islands,11.6645348,92.7390448
Amaravati,Andhra Pradesh,16.51691,80.5002592
Itanagar,Arunachal Pradesh,27.0979659,93.6237291
Dispur,Assam,26.1513079,91.7933805
Patna,Bihar,25.6093239,85.1235252
Chandigarh,Chandigarh,30.7194022,76.7646552
Naya Raipur,Chhattisgarh,21.1610268,81.7864412
Daman,Dadra and Nagar Haveli and Daman and Diu,20.4283,72.8397
New Delhi,Delhi,28.6141793,77.2022662
Panaji,Goa,15.4989946,73.8282141
Gandhinagar,Gujarat,23.2232877,72.6492267
Chandigarh,Haryana,30.4319533,76.7785643
Shimla,Himachal Pradesh,31.1041526,77.1709729
Srinagar,Jammu and Kashmir,34.0747444,74.8204443
Ranchi,Jharkhand,23.3700354,85.3250132
Bangalore,Karnataka,12.9791198,77.5912997
Thiruvananthapuram,Kerala,8.5058909,76.9570481
Leh,Ladakh,34.1642029,77.5848133
Kavaratti,Lakshadweep,10.55905,72.6365688
Bhopal,Madhya Pradesh,23.2584857,77.401989
Mumbai,Maharashtra,18.9387711,72.8353355
Imphal,Manipur,24.8006088,93.9369998
Shillong,Meghalaya,25.5760446,91.8825282
Aizawl,Mizoram,23.7414092,92.7209297
Kohima,Nagaland,25.75,94.166667
Bhubaneswar,Odisha,20.2667774,85.8435592
Pondicherry,Puducherry,11.9340568,79.8306447
Chandigarh,Punjab,30.7194022,76.7646552
Jaipur,Rajasthan,26.916194,75.820349
Gangtok,Sikkim,27.329046,88.6122673
Chennai,Tamil Nadu,13.0801721,80.2838331
Hyderabad,Telangana,17.38878595,78.46106473
Agartala,Tripura,23.8312377,91.2823821
Lucknow,Uttar Pradesh,26.8381,80.9346001
Dehradun,Uttarakhand,30.3255646,78.0436813
Kolkata,West Bengal,22.54541245,88.35677516
